Genre,Total movies with this genre,Title,Year,Length,Rating
action,51732,Black Adam,2022,7.1,125
action,51732,The School for Good and Evil,2022,5.8,147
action,51732,Kantara,2022,9.1,148
action,51732,Im Westen nichts Neues,2022,7.9,148
action,51732,Bullet Train,2022,7.3,127
action,51732,Top Gun: Maverick,2022,8.4,130
action,51732,Everything Everywhere All at Once,2022,8.1,139
action,51732,The Northman,2022,7.1,137
action,51732,Thor: Love and Thunder,2022,6.4,118
action,51732,The Woman King,2022,6.7,135
action,51732,The Batman,2022,7.9,176
action,51732,Top Gun,1986,6.9,110
action,51732,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178
action,51732,The Lost City,2022,6.1,112
action,51732,Ram Setu,2022,5.2,140
action,51732,Blade of the 47 Ronin,2022,4.6,107
action,51732,Prey,2022,7.2,99
action,51732,Jurassic World: Dominion,2022,5.7,147
action,51732,Uncharted,2022,6.3,116
action,51732,Spider-Man: No Way Home,2021,8.3,148
action,51732,Lou,2022,6.1,107
action,51732,DC League of Super-Pets,2022,7.3,105
action,51732,Detective Knight: Rogue,2022,3.5,105
action,51732,The Gray Man,2022,6.5,122
action,51732,Ghostbusters,1984,7.8,105
action,51732,Dune: Part One,2021,8.0,155
action,51732,The Lair,2022,4.6,96
action,51732,Avengers: Endgame,2019,8.4,181
action,51732,The Dark Knight,2008,9.0,152
action,51732,Rogue One,2016,7.8,133
action,51732,Blackout,2022,3.8,81
action,51732,The Unbearable Weight of Massive Talent,2022,7.0,107
action,51732,Avatar,2009,7.8,162
action,51732,Doctor Strange in the Multiverse of Madness,2022,6.9,126
action,51732,Black Panther,2018,7.3,134
action,51732,Last Seen Alive,2022,5.6,95
action,51732,Enola Holmes 2,2022,6.9,129
action,51732,The Legend of Maula Jatt,2022,8.9,153
action,51732,No Time to Die,2021,7.3,163
action,51732,Memory,2022,5.7,114
action,51732,Inception,2010,8.8,148
action,51732,The Lord of the Rings: The Return of the King,2003,9.0,201
action,51732,RRR (Rise Roar Revolt),2022,8.0,187
action,51732,Morbius,2022,5.2,104
action,51732,Shazam!,2019,7.0,132
action,51732,The Suicide Squad,2021,7.2,132
action-comedy,499375,Black Adam,2022,7.1,125
action-comedy,499375,Barbarian,2022,7.2,102
action-comedy,499375,Terrifier 2,2022,6.4,138
action-comedy,499375,The School for Good and Evil,2022,5.8,147
action-comedy,499375,The Good Nurse,2022,6.9,121
action-comedy,499375,The Stranger,2022,6.6,117
action-comedy,499375,Don't Worry Darling,2022,6.2,123
action-comedy,499375,Halloween Ends,2022,5.0,111
action-comedy,499375,Kantara,2022,9.1,148
action-comedy,499375,Terrifier,2016,5.6,85
action-comedy,499375,Im Westen nichts Neues,2022,7.9,148
action-comedy,499375,Pearl,2022,7.1,103
action-comedy,499375,Ticket to Paradise,2022,6.2,104
action-comedy,499375,Smile,2022,6.8,115
action-comedy,499375,X,2022,6.6,105
action-comedy,499375,Bullet Train,2022,7.3,127
action-comedy,499375,The Banshees of Inisherin,2022,8.2,109
action-comedy,499375,Hocus Pocus,1993,6.9,96
action-comedy,499375,Luckiest Girl Alive,2022,6.4,113
action-comedy,499375,Hocus Pocus 2,2022,6.0,103
action-comedy,499375,Triangle of Sadness,2022,7.9,147
action-comedy,499375,Top Gun: Maverick,2022,8.4,130
action-comedy,499375,Hellraiser,2022,6.0,121
action-comedy,499375,Amsterdam,2022,6.2,134
action-comedy,499375,Tár,2022,8.2,158
action-comedy,499375,Nope,2022,6.9,130
action-comedy,499375,Halloween,1978,7.7,91
action-comedy,499375,Everything Everywhere All at Once,2022,8.1,139
action-comedy,499375,Fall,2022,6.4,107
action-comedy,499375,Prey for the Devil,2022,5.2,93
action-comedy,499375,The Northman,2022,7.1,137
action-comedy,499375,Raymond & Ray,2022,6.2,105
action-comedy,499375,The Curse of Bridge Hollow,2022,5.6,89
action-comedy,499375,Blonde,2022,5.5,167
action-comedy,499375,Thor: Love and Thunder,2022,6.4,118
action-comedy,499375,Beetle Juice,1988,7.5,92
action-comedy,499375,Bros,2022,6.4,115
action-comedy,499375,The Menu,2022,7.5,106
action-comedy,499375,The Woman King,2022,6.7,135
action-comedy,499375,The Black Phone,2021,6.9,103
action-comedy,499375,The Batman,2022,7.9,176
action-comedy,499375,Where the Crawdads Sing,2022,7.1,125
action-comedy,499375,Mr. Harrigan's Phone,2022,6.0,104
action-comedy,499375,Top Gun,1986,6.9,110
action-comedy,499375,Elvis,2022,7.4,159
adventure,25287,Black Adam,2022,7.1,125
adventure,25287,Kantara,2022,9.1,148
adventure,25287,Everything Everywhere All at Once,2022,8.1,139
adventure,25287,The Northman,2022,7.1,137
adventure,25287,The Curse of Bridge Hollow,2022,5.6,89
adventure,25287,Thor: Love and Thunder,2022,6.4,118
adventure,25287,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178
adventure,25287,Lyle, Lyle, Crocodile,2022,6.3,106
adventure,25287,Harry Potter and the Sorcerer's Stone,2001,7.6,152
adventure,25287,The Lost City,2022,6.1,112
adventure,25287,Ram Setu,2022,5.2,140
adventure,25287,Interstellar,2014,8.6,169
adventure,25287,Prey,2022,7.2,99
adventure,25287,Jurassic World: Dominion,2022,5.7,147
adventure,25287,Wendell & Wild,2022,6.6,105
adventure,25287,Uncharted,2022,6.3,116
adventure,25287,The Goonies,1985,7.7,114
adventure,25287,Spider-Man: No Way Home,2021,8.3,148
adventure,25287,DC League of Super-Pets,2022,7.3,105
adventure,25287,Dune: Part One,2021,8.0,155
adventure,25287,Avengers: Endgame,2019,8.4,181
adventure,25287,The Greatest Beer Run Ever,2022,6.8,126
adventure,25287,Rogue One,2016,7.8,133
adventure,25287,Ghostbusters: Afterlife,2021,7.1,124
adventure,25287,Avatar,2009,7.8,162
adventure,25287,Sing 2,2021,7.4,110
adventure,25287,Doctor Strange in the Multiverse of Madness,2022,6.9,126
adventure,25287,Black Panther,2018,7.3,134
adventure,25287,Catherine Called Birdy,2022,6.5,108
adventure,25287,Enola Holmes 2,2022,6.9,129
adventure,25287,Back to the Future,1985,8.5,116
adventure,25287,No Time to Die,2021,7.3,163
adventure,25287,Inception,2010,8.8,148
adventure,25287,The Lord of the Rings: The Return of the King,2003,9.0,201
adventure,25287,Morbius,2022,5.2,104
adventure,25287,Shazam!,2019,7.0,132
adventure,25287,Inglourious Basterds,2009,8.3,153
adventure,25287,The Suicide Squad,2021,7.2,132
adventure,25287,Scooby-Doo,2002,5.2,89
adventure,25287,Pinocchio,2022,5.1,105
adventure,25287,Enola Holmes,2020,6.6,123
adventure,25287,Zack Snyder's Justice League,2021,8.0,242
adventure,25287,Vesper,2022,6.0,114
adventure,25287,Man of Steel,2013,7.1,143
animation,8130,The Nightmare Before Christmas,1993,7.9,76
animation,8130,Lyle, Lyle, Crocodile,2022,6.3,106
animation,8130,Wendell & Wild,2022,6.6,105
animation,8130,DC League of Super-Pets,2022,7.3,105
animation,8130,Sing 2,2021,7.4,110
animation,8130,Coraline,2009,7.7,100
animation,8130,Pinocchio,2022,7.8,117
animation,8130,Corpse Bride,2005,7.3,77
animation,8130,Entergalactic,2022,7.4,93
animation,8130,Sing,2016,7.1,108
animation,8130,Minions: The Rise of Gru,2022,6.6,87
animation,8130,Hotel Transylvania,2012,7.0,91
animation,8130,Coco,2017,8.4,105
animation,8130,Encanto,2021,7.2,102
animation,8130,Monster House,2006,6.6,91
animation,8130,The Bad Guys,2022,6.8,100
animation,8130,The Addams Family,2019,5.8,86
animation,8130,Lightyear,2022,6.0,100
animation,8130,Sen to Chihiro no kamikakushi,2001,8.6,125
animation,8130,The Lion King,1994,8.5,88
animation,8130,Spider-Man: Into the Spider-Verse,2018,8.4,117
animation,8130,Ratatouille,2007,8.1,111
animation,8130,Cars,2006,7.2,117
animation,8130,Monsters, Inc.,2001,8.1,92
animation,8130,Sausage Party,2016,6.1,89
animation,8130,Frozen,2013,7.4,102
animation,8130,Hotel Transylvania: Transformania,2022,6.0,87
animation,8130,Luck,2022,6.4,105
animation,8130,Inside Out,2015,8.2,95
animation,8130,Toy Story,1995,8.3,81
animation,8130,Moana,2016,7.6,107
animation,8130,Megamind,2010,7.3,95
animation,8130,Shrek,2001,7.9,90
animation,8130,Despicable Me,2010,7.6,95
animation,8130,Kimi no na wa.,2016,8.4,106
animation,8130,Trick or Treat Scooby-Doo!,2022,5.7,72
animation,8130,Hercules,1997,7.3,93
animation,8130,Turning Red,2022,7.0,100
animation,8130,The Incredibles,2004,8.0,115
animation,8130,Zootopia,2016,8.0,108
animation,8130,Frankenweenie,2012,6.9,87
animation,8130,A Goofy Movie,1995,6.9,78
animation,8130,The Sea Beast,2022,7.1,115
animation,8130,The Lion King,2019,6.8,118
animation,8130,The Book of Life,2014,7.2,95
animation,8130,Hauru no ugoku shiro,2004,8.2,119
animation,8130,Tangled,2010,7.7,100
biography,8070,The Good Nurse,2022,6.9,121
biography,8070,Blonde,2022,5.5,167
biography,8070,Elvis,2022,7.4,159
biography,8070,Argentina, 1985,2022,7.9,140
biography,8070,The Wolf of Wall Street,2013,8.2,180
biography,8070,Father Stu,2022,6.5,124
biography,8070,Weird: The Al Yankovic Story,2022,7.3,108
biography,8070,Schindler's List,1993,9.0,195
biography,8070,Goodfellas,1990,8.7,145
biography,8070,The Greatest Showman,2017,7.5,105
biography,8070,Thirteen Lives,2022,7.8,147
biography,8070,House of Gucci,2021,6.6,158
biography,8070,Legend,2015,6.9,132
biography,8070,Emily,2022,7.3,130
biography,8070,Braveheart,1995,8.4,178
biography,8070,Ford v Ferrari,2019,8.1,152
biography,8070,Hacksaw Ridge,2016,8.1,139
biography,8070,My Friend Dahmer,2017,6.2,107
biography,8070,The King,2019,7.3,140
biography,8070,Bronson,2008,7.0,92
biography,8070,Green Book,2018,8.2,130
biography,8070,The Big Short,2015,7.8,130
biography,8070,Dahmer,2002,5.6,101
biography,8070,Hamilton,2020,8.4,160
biography,8070,Belfast,2021,7.3,98
biography,8070,The Irishman,2019,7.8,209
biography,8070,Amadeus,1984,8.4,160
biography,8070,Catch Me If You Can,2002,8.1,141
biography,8070,Bohemian Rhapsody,2018,7.9,134
biography,8070,The Pianist,2002,8.5,150
biography,8070,The Intouchables,2011,8.5,112
biography,8070,The Social Network,2010,7.8,120
biography,8070,Tombstone,1993,7.8,130
biography,8070,The Blind Side,2009,7.6,129
biography,8070,Spotlight,2015,8.1,129
biography,8070,The Imitation Game,2014,8.0,114
biography,8070,A Beautiful Mind,2001,8.2,135
biography,8070,Spencer,2021,6.6,117
biography,8070,Girl, Interrupted,1999,7.3,127
biography,8070,Hidden Figures,2016,7.8,127
biography,8070,Great Balls of Fire!,1989,6.3,108
biography,8070,Into the Wild,2007,8.1,148
biography,8070,12 Years a Slave,2013,8.1,134
biography,8070,The Theory of Everything,2014,7.7,123
biography,8070,Corsage,2022,7.1,113
biography,8070,The Sound of Music,1965,8.1,172
biography,8070,Monster,2003,7.3,109
biography,8070,Rush,2013,8.1,123
biography,8070,Molly's Game,2017,7.4,140
comedy,103572,The School for Good and Evil,2022,5.8,147
comedy,103572,Ticket to Paradise,2022,6.2,104
comedy,103572,Bullet Train,2022,7.3,127
comedy,103572,The Banshees of Inisherin,2022,8.2,109
comedy,103572,Hocus Pocus,1993,6.9,96
comedy,103572,Hocus Pocus 2,2022,6.0,103
comedy,103572,Triangle of Sadness,2022,7.9,147
comedy,103572,Amsterdam,2022,6.2,134
comedy,103572,Everything Everywhere All at Once,2022,8.1,139
comedy,103572,Raymond & Ray,2022,6.2,105
comedy,103572,The Curse of Bridge Hollow,2022,5.6,89
comedy,103572,Thor: Love and Thunder,2022,6.4,118
comedy,103572,Beetle Juice,1988,7.5,92
comedy,103572,Bros,2022,6.4,115
comedy,103572,The Menu,2022,7.5,106
comedy,103572,Glass Onion: A Knives Out Mystery,2022,8.1,139
comedy,103572,Lyle, Lyle, Crocodile,2022,6.3,106
comedy,103572,Rosaline,2022,6.4,95
comedy,103572,Bodies Bodies Bodies,2022,6.3,94
comedy,103572,The Rocky Horror Picture Show,1975,7.4,100
comedy,103572,The Lost City,2022,6.1,112
comedy,103572,The Munsters,2022,4.6,109
comedy,103572,Wendell & Wild,2022,6.6,105
comedy,103572,The Goonies,1985,7.7,114
comedy,103572,Trick 'r Treat,2007,6.7,82
comedy,103572,Bardo, falsa crónica de unas cuantas verdades,2022,7.5,159
comedy,103572,DC League of Super-Pets,2022,7.3,105
comedy,103572,Ghostbusters,1984,7.8,105
comedy,103572,Hubie Halloween,2020,5.2,103
comedy,103572,The Greatest Beer Run Ever,2022,6.8,126
comedy,103572,Casper,1995,6.1,100
comedy,103572,Knives Out,2019,7.9,130
comedy,103572,Slayers,2022,3.0,88
comedy,103572,The Addams Family,1991,6.9,99
comedy,103572,Practical Magic,1998,6.2,104
comedy,103572,Ghostbusters: Afterlife,2021,7.1,124
comedy,103572,Do Revenge,2022,6.3,118
comedy,103572,Deadstream,2022,6.6,87
comedy,103572,The Unbearable Weight of Massive Talent,2022,7.0,107
comedy,103572,The Wolf of Wall Street,2013,8.2,180
comedy,103572,Sing 2,2021,7.4,110
comedy,103572,Once Upon a Time... in Hollywood,2019,7.6,161
comedy,103572,Thank God,2022,6.2,121
comedy-romance,499375,Black Adam,2022,7.1,125
comedy-romance,499375,Barbarian,2022,7.2,102
comedy-romance,499375,Terrifier 2,2022,6.4,138
comedy-romance,499375,The School for Good and Evil,2022,5.8,147
comedy-romance,499375,The Good Nurse,2022,6.9,121
comedy-romance,499375,The Stranger,2022,6.6,117
comedy-romance,499375,Don't Worry Darling,2022,6.2,123
comedy-romance,499375,Halloween Ends,2022,5.0,111
comedy-romance,499375,Kantara,2022,9.1,148
comedy-romance,499375,Terrifier,2016,5.6,85
comedy-romance,499375,Im Westen nichts Neues,2022,7.9,148
comedy-romance,499375,Pearl,2022,7.1,103
comedy-romance,499375,Ticket to Paradise,2022,6.2,104
comedy-romance,499375,Smile,2022,6.8,115
comedy-romance,499375,X,2022,6.6,105
comedy-romance,499375,Bullet Train,2022,7.3,127
comedy-romance,499375,The Banshees of Inisherin,2022,8.2,109
comedy-romance,499375,Hocus Pocus,1993,6.9,96
comedy-romance,499375,Luckiest Girl Alive,2022,6.4,113
comedy-romance,499375,Hocus Pocus 2,2022,6.0,103
comedy-romance,499375,Triangle of Sadness,2022,7.9,147
comedy-romance,499375,Top Gun: Maverick,2022,8.4,130
comedy-romance,499375,Hellraiser,2022,6.0,121
comedy-romance,499375,Amsterdam,2022,6.2,134
comedy-romance,499375,Tár,2022,8.2,158
comedy-romance,499375,Nope,2022,6.9,130
comedy-romance,499375,Halloween,1978,7.7,91
comedy-romance,499375,Everything Everywhere All at Once,2022,8.1,139
comedy-romance,499375,Fall,2022,6.4,107
comedy-romance,499375,Prey for the Devil,2022,5.2,93
comedy-romance,499375,The Northman,2022,7.1,137
comedy-romance,499375,Raymond & Ray,2022,6.2,105
comedy-romance,499375,The Curse of Bridge Hollow,2022,5.6,89
comedy-romance,499375,Blonde,2022,5.5,167
comedy-romance,499375,Thor: Love and Thunder,2022,6.4,118
comedy-romance,499375,Beetle Juice,1988,7.5,92
comedy-romance,499375,Bros,2022,6.4,115
comedy-romance,499375,The Menu,2022,7.5,106
comedy-romance,499375,The Woman King,2022,6.7,135
comedy-romance,499375,The Black Phone,2021,6.9,103
comedy-romance,499375,The Batman,2022,7.9,176
comedy-romance,499375,Where the Crawdads Sing,2022,7.1,125
comedy-romance,499375,Mr. Harrigan's Phone,2022,6.0,104
comedy-romance,499375,Top Gun,1986,6.9,110
comedy-romance,499375,Elvis,2022,7.4,159
crime,35077,The Good Nurse,2022,6.9,121
crime,35077,The Stranger,2022,6.6,117
crime,35077,The Batman,2022,7.9,176
crime,35077,Glass Onion: A Knives Out Mystery,2022,8.1,139
crime,35077,American Psycho,2000,7.6,102
crime,35077,Halloween,2018,6.5,106
crime,35077,The Godfather,1972,9.2,175
crime,35077,Heojil kyolshim,2022,7.3,139
crime,35077,Argentina, 1985,2022,7.9,140
crime,35077,Lou,2022,6.1,107
crime,35077,DC League of Super-Pets,2022,7.3,105
crime,35077,Joker,2019,8.4,122
crime,35077,Knives Out,2019,7.9,130
crime,35077,Pulp Fiction,1994,8.9,154
crime,35077,The Dark Knight,2008,9.0,152
crime,35077,Blackout,2022,3.8,81
crime,35077,The Unbearable Weight of Massive Talent,2022,7.0,107
crime,35077,The Wolf of Wall Street,2013,8.2,180
crime,35077,American Murderer,2022,4.8,102
crime,35077,Enola Holmes 2,2022,6.9,129
crime,35077,The Silence of the Lambs,1991,8.6,118
crime,35077,Memory,2022,5.7,114
crime,35077,In Bruges,2008,7.9,107
crime,35077,Orphan: First Kill,2022,5.9,99
crime,35077,Se7en,1995,8.6,127
crime,35077,The Gentlemen,2019,7.8,113
crime,35077,Ambulance,2022,6.1,136
crime,35077,The Little Things,2021,6.3,128
crime,35077,Death on the Nile,2022,6.3,127
crime,35077,Enola Holmes,2020,6.6,123
crime,35077,Rapiniamo il Duce,2022,5.5,90
crime,35077,Nobody,2021,7.4,92
crime,35077,John Wick,2014,7.4,101
crime,35077,The Departed,2006,8.5,151
crime,35077,Léon,1994,8.5,110
crime,35077,Kick-Ass,2010,7.6,117
crime,35077,A Clockwork Orange,1971,8.3,136
crime,35077,Minions: The Rise of Gru,2022,6.6,87
crime,35077,Prisoners,2013,8.1,153
crime,35077,Goodfellas,1990,8.7,145
crime,35077,Accident Man 2,2022,5.9,96
crime,35077,Nightmare Alley,2021,7.0,150
crime,35077,Communion,1976,6.4,107
crime,35077,The Outsiders,1983,7.1,91
crime,35077,Scarface,1983,8.3,170
drama,220790,The School for Good and Evil,2022,5.8,147
drama,220790,The Good Nurse,2022,6.9,121
